,Participant_ID,Language,Study group,Session order,Treatment,Task_type,Task,Task_D1,Task_D2,Task_D3,Task_D4,Task_E1,Task_E2,Task_E3,Task_E4,Education,Position,year_experience,Completeness,"Implementation time
(minutes)","Questions time
(minutes)",Experiment,All.lines,Num event “didChangeTextEditorUI” during questions,num_valid_questions
0,1,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,55.0,71.15,14.48,U1,149,39,9
1,1,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,80.25,10.48,U1,101,34,9
2,2,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,88.0,64.04,17.59,U1,119,26,8
3,2,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,5.0,63.08,10.74,U1,11,14,7
4,3,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,11,43.0,75.63,9.45,U1,128,18,9
5,3,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,11,100.0,7.85,9.66,U1,133,44,8
6,4,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,68.96,8.13,M1,169,12,7
7,4,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,16.0,71.47,2.04,M1,92,124,8
8,5,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,NA,NA,M1,226,,7
9,5,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,35.0,NA,NA,M1,179,140,9
10,6,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,55.0,NA,,M1,199,,8
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,NA,NA,M1,213,,8
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,68.43,14.51,M1,160,26,8
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,62.32,10.99,M1,155,36,7
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,0.97,19.65,M1,150,38,8
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,42.0,15.78,M1,112,22,6
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,NA,NA,M1,294,,9
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,NA,NA,M1,287,,9
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,NA,NA,M1,155,,7
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,NA,NA,M1,211,91,7
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,NA,NA,M1,245,14,7
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,NA,NA,M1,240,,8
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,2.82,10.31,M1,239,16,6
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,77.67,8.48,M1,117,52,9
24,13,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,82.0,43.72,7.19,M1,154,22,5
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,72.93,4.64,M1,150,56,7
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,69.03,12.14,M1,191,22,7
27,14,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Master,6,10.0,71.09,7.91,M1,35,112,8
28,15,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,30.0,78.02,6.79,M1,137,40,6
29,15,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,100.0,42.83,20.09,M1,355,20,7
30,16,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,10,100.0,36.59,12.55,M2,108,18,6
31,16,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,10,50.0,73.42,5.75,M2,125,16,9
32,17,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,88.0,77.76,15.39,M2,148,24,9
33,17,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,8.0,75.71,5.03,M2,57,145,8
34,18,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,8,35.0,71.01,12.53,M2,68,28,9
35,18,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,8,95.0,15.6,15.31,M2,129,62,5
36,19,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,9,70.0,81.88,14.09,M2,113,8,9
37,19,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,9,84.0,42.46,10.6,M2,117,32,9
38,20,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,81.0,67.82,19.96,M2,140,62,8
39,20,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,62.4,11.14,M2,104,100,8
40,21,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,65.0,80.21,15.92,M2,94,140,8
41,21,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,58.0,74.1,10.36,M2,56,28,9
42,22,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,45.0,NA,NA,S2,805,,9
43,22,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,100.0,NA,NA,S2,171,52,8
44,23,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,65.0,NA,NA,S2,835,62,9
45,23,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,90.0,NA,NA,S2,188,,7
46,24,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,5.0,47.79,11.19,S2,656,24,9
47,24,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,45.98,7.12,S2,111,153,8
48,25,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,85.0,NA,NA,S2,823,,9
49,25,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,50.0,NA,NA,S2,179,,8
50,26,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,5,60.0,41.04,6.49,S2,137,27,8
51,26,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,5,10.0,34.26,4.68,S2,669,5,8
52,27,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,80.0,46.49,17.79,S2,708,110,9
53,27,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,80.0,47.32,8.62,S2,142,340,8
54,28,Java,D,First,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,33.0,12.74,7.75,S2,127,16,8
55,28,Java,D,Second,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,70.0,52.29,10.08,S2,692,24,9
56,29,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,25.0,44.8,13.84,S2,664,114,8
57,29,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,55.0,47.11,8.12,S2,134,20,9
58,30,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,38.0,NA,NA,S2,179,28,8
59,30,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,30.0,NA,NA,S2,813,,9
60,31,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,0.0,47.49,16.23,S2,668,33,9
61,31,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,30.09,12.86,S2,157,21,9
62,32,Java,D,First,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,8.0,NA,NA,S2,181,26,8
63,32,Java,D,Second,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,35.0,NA,NA,S2,816,,9
64,33,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,23.0,27.67,17.85,S2,664,36,8
65,33,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,95.0,27.76,18.94,S2,115,202,8
66,34,Java,D,First,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,55.0,75.87,7.11,S2,133,2,7
67,34,Java,D,Second,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,93.0,28.25,16.32,S2,677,128,8
68,35,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,60.0,NA,NA,S2,821,,9
69,35,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,55.0,NA,NA,S2,206,18,8
70,36,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,60.0,NA,NA,S2,177,,7
71,36,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,45.0,NA,NA,S2,831,,8
72,37,Java,D,First,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,35.0,21.2,12.37,S2,128,26,8
73,37,Java,D,Second,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,73.0,20.76,11.56,S2,684,30,9
74,38,Java,A,First,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,1,73.0,NA,NA,S2,818,66,9
75,38,Java,A,Second,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,1,50.0,NA,NA,S2,194,,7
76,39,Java,B,First,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,60.0,49.37,8.83,S2,109,22,8
77,39,Java,B,Second,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,10.0,45.61,10.79,S2,681,41,8
78,40,Java,C,First,NAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,2,10.0,25.19,14.65,S2,653,50,8
79,40,Java,C,Second,WAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,2,100.0,42.5,9.57,S2,122,56,8
80,41,Java,D,First,NAI,E,E3,0,0,0,0,0,0,1,0,High school,Bachelor,3,5.0,NA,NA,S2,178,,6
81,41,Java,D,Second,WAI,D,D3,0,0,1,0,0,0,0,0,High school,Bachelor,3,73.0,NA,NA,S2,821,,9
82,42,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,6,25.0,69.19,21.12,M2,68,60,9
83,42,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,6,90.0,53.2,11.23,M2,122,32,9
84,43,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,7,12.0,71.29,14.9,M2,86,16,9
85,43,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,7,77.0,21.12,18.48,M2,119,293,8
86,44,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,PhD,Postdoc,13,33.0,72.24,11.22,M2,89,10,8
87,44,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,PhD,Postdoc,13,88.0,13.25,16.97,M2,118,8,9
88,45,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,PhD,Postdoc,10,85.0,47.7,15.7,U1,102,106,9
89,45,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,PhD,Postdoc,10,80.0,73.19,9.8,U1,130,76,8
90,46,Java,A,First,WAI,D,D4,0,0,0,1,0,0,0,0,Master,Master,5,70.0,33.84,14.47,S1,234,106,6
