folder_name,rater1,rater2,question,with_AI
0rWPjP1djqiouW-closed-3,1,1,3. Copy and paste a line or lines of code: Which lines add extra points after a certain number of items have been consumed?,TRUE
0VZM02LZqzplLX-closed-3,1,2,3. Copy and paste a line or lines of code: Where do you add the newly created object to the in-memory collection?,FALSE
1utAQtiieUofk0-closed-3,1,1,3. Copy and paste a line or lines of code: Which line or lines define the method that fetches the numeric outcome from your object?,FALSE
2WfyQNOGWBV6NM-closed-6,1,1,6. Copy and paste a line or lines of code: Where do you throw an exception in the streaming logic if an unexpected condition occurs?,TRUE
3FADAm6b0lPpIr-open-3,2,1,"3. If in the future the code for finding duplicates allowed for slight variations in titles (like ignoring punctuation), how would you update both the test data and the duplicate-finding tests to account for this new requirement?",FALSE
3G45Qa1BSLPRW1-closed-4,1,3,4. Copy and paste a line or lines of code: Where do you write the gathered record into a data file for future display of results?,TRUE
3HnKZpb1ftv1Mk-closed-6,1,1,6. Copy and paste a line or lines of code: Where do you retrieve the number of moves each player made in a finished game?,FALSE
3pmCE55kz2caO2-open-1,2,2,7. Provide a textual answer: Describe in natural language all code blocks in the getMostVoted function.,TRUE
3vSSHtm83hJ0Xb-open-1,2,2,7. Provide a textual answer: Describe in natural language all code blocks in the getFilmsByTitle function.,TRUE
5l3FZKX0o6UcCe-closed-2,1,2,2. Copy and paste a line or lines of code: Where do you handle multiple user actions based on the numeric input?,FALSE
5VYfvZAuWGd5nO-closed-1,1,1,1. Copy and paste a line or lines of code: Where is the code that compares the difficulty levels during the sorting of the exam list?,TRUE
6JuKysB5f8ieXr-closed-4,1,1,"4. Copy and paste a line or lines of code: Display how the program attempts to convert user input to a numeric type, handling invalid input gracefully.",FALSE
7bbiR01q5voxyy-closed-2,1,1,"2. Copy and paste a line or lines of code: In the function that obtains a subset based on a partial property, show me the improved approach introduced.",TRUE
7N4KoKcU0HiFtq-closed-6,1,1,6. Copy and paste a line or lines of code: Where is an iteration performed to display grouped data by a certain attribute?,FALSE
7Vu6LoJgoKg7Vl-closed-2,1,1,2. Copy and paste a line or lines of code: Which part toggles the gift status between two different values?,TRUE
8NlRbdM2uSunkn-closed-2,1,2,2. Copy and paste a line or lines of code: Where in the rendering procedure do you show that numeric variable on screen?,FALSE
8vtTujNblQd7BS-closed-1,1,1,1. Copy and paste a line or lines of code: Which line obtains the response from the remote server in the new method that collects items iteratively?,FALSE
8ZrXyy33SBhWvA-closed-5,1,1,5. Copy and paste a line or lines of code: Where is the code that persists the updated data structure back to an external file?,FALSE
9oRfyUqzW2lAeK-open-2,3,1,"2. Can you give an example of a subtle edge case in the parameterized test for invalid rating ranges (min < 0, max > 10, min > max) that isn’t currently covered, and how you would add a test for it?",FALSE
24AUBBjzH3xbAF-open-2,1,2,8. Provide a textual answer: Why is a loop used in the function that requests a menu choice from the user?,TRUE
62n0A1qur3r17E-closed-5,1,1,5. Copy and paste a line or lines of code: Indicate where each exam in the list is printed to the console.,TRUE
