,Participant_ID,Language,Study group,Session order,Treatment,Task type,Task,Task_D1,Task_D2,Task_D3,Task_D4,Task_E1,Task_E2,Task_E3,Task_E4,Education,Position,year_experience,Completeness,Experiment
0,1,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,7,55.0,U1
1,1,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,7,70.0,U1
2,2,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,8,88.0,U1
3,2,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,8,5.0,U1
4,3,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,11,43.0,U1
5,3,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,11,100.0,U1
6,4,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,M1
7,4,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,16.0,M1
8,5,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,M1
9,5,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,35.0,M1
10,6,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,55.0,M1
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,M1
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,M1
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,M1
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,M1
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,M1
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,M1
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,M1
